# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  141       5.488406685502e-10       1.510324799333e-13      -6.018766667155e-12       8.371112820383e-16       3.984798090033e-12       6.762829526015e-13      -4.402252475966e-15 
  142       5.534276544390e-10       1.509410147075e-13      -6.050298079987e-12       8.498865535403e-16       3.905300506245e-12       6.661871596964e-13      -4.343633463454e-15 
  143       5.580007293242e-10       1.507842414408e-13      -6.079022697628e-12       8.627863475402e-16       3.827891111233e-12       6.563352995151e-13      -4.286158005898e-15 
  144       5.625586755246e-10       1.505626167864e-13      -6.104886591097e-12       8.758113649153e-16       3.752533773682e-12       6.467180923512e-13      -4.229629551553e-15 
  145       5.671002228830e-10       1.502766899807e-13      -6.127837025758e-12       8.889623035638e-16       3.679182934518e-12       6.373247882122e-13      -4.173835424091e-15 
  146       5.716240476460e-10       1.499271046143e-13      -6.147822500916e-12       9.022398581973e-16       3.607783388884e-12       6.281431341256e-13      -4.118546503256e-15 
  147       5.761287713455e-10       1.495146004045e-13      -6.164792789414e-12       9.156447201333e-16       3.538270068113e-12       6.191593414446e-13      -4.063516905515e-15 
  148       5.806129596790e-10       1.490400149670e-13      -6.178698977225e-12       9.291775770885e-16       3.470567821699e-12       6.103580531535e-13      -4.008483664719e-15 
  149       5.850751213904e-10       1.485042855871e-13      -6.189493503050e-12       9.428391129711e-16       3.404591199278e-12       6.017223111742e-13      -3.953166412753e-15 
  150       5.895137071507e-10       1.479084509924e-13      -6.197130197914e-12       9.566300076737e-16       3.340244232593e-12       5.932335236711e-13      -3.897267060191e-15 
  151       5.939271084389e-10       1.472536531240e-13      -6.201564324758e-12       9.705509368662e-16       3.277420217475e-12       5.848714323573e-13      -3.840469476951e-15 
  152       5.983136564226e-10       1.465411389083e-13      -6.202752618039e-12       9.846025717883e-16       3.216001495813e-12       5.766140798004e-13      -3.782439172952e-15 
  153       6.026717438548e-10       1.457722452997e-13      -6.200653553488e-12       9.987855242797e-16       3.155883782920e-12       5.684428571572e-13      -3.722904475163e-15 
  154       6.070002058681e-10       1.449483491142e-13      -6.195228102277e-12       1.013100176557e-15       3.097052152525e-12       5.603582440536e-13      -3.661909219946e-15 
  155       6.112979726012e-10       1.440709158898e-13      -6.186439122766e-12       1.027546835146e-15       3.039511730789e-12       5.523654759984e-13      -3.599583045669e-15 
  156       6.155639488747e-10       1.431415178693e-13      -6.174251177059e-12       1.042125783746e-15       2.983263693357e-12       5.444695886618e-13      -3.536062101897e-15 
  157       6.197970136984e-10       1.421618356871e-13      -6.158630571774e-12       1.056837282737e-15       2.928305172332e-12       5.366754110559e-13      -3.471489145099e-15 
  158       6.239960197787e-10       1.411336600557e-13      -6.139545398809e-12       1.071681568699e-15       2.874629163265e-12       5.289875587143e-13      -3.406013634361e-15 
  159       6.281597930255e-10       1.400588934523e-13      -6.116965576112e-12       1.086658853920e-15       2.822224432135e-12       5.214104268727e-13      -3.339791827097e-15 
  160       6.322871320598e-10       1.389395518055e-13      -6.090862888447e-12       1.101769325919e-15       2.771075422328e-12       5.139481836486e-13      -3.272986874762e-15 
  161       6.363768077205e-10       1.377777661815e-13      -6.061211028162e-12       1.117013146949e-15       2.721162161624e-12       5.066047632217e-13      -3.205768918561e-15 
