# Matter power spectrum P(k) at redshift z=0
# for k=1.09407e-05 to 1.13086 h/Mpc,
# number of wavenumbers equal to 601
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.170904487142e-01       4.739883021093e+01 
       6.204659499265e-01       4.679058094891e+01 
       6.238414512351e-01       4.619343696672e+01 
       6.272169526384e-01       4.560664933797e+01 
       6.305924541350e-01       4.503030021411e+01 
       6.339679557234e-01       4.446355245582e+01 
       6.373434574020e-01       4.390612917857e+01 
       6.407189591694e-01       4.335802897396e+01 
       6.440944610244e-01       4.281939502367e+01 
       6.474699629653e-01       4.229080167398e+01 
       6.508454649911e-01       4.177203999566e+01 
       6.542209671002e-01       4.126362166900e+01 
       6.575964692915e-01       4.076484485593e+01 
       6.609719715636e-01       4.027501206564e+01 
       6.643474739154e-01       3.979387610684e+01 
       6.677229763456e-01       3.932103313096e+01 
       6.710984788530e-01       3.885662180372e+01 
       6.744739814365e-01       3.840052234164e+01 
       6.778494840950e-01       3.795249875184e+01 
       6.812249868272e-01       3.751263828941e+01 
       6.846004896322e-01       3.707986862941e+01 
       6.879759925088e-01       3.665421156588e+01 
       6.913514954561e-01       3.623461473013e+01 
       6.947269984729e-01       3.582248304308e+01 
       6.981025015582e-01       3.541561552127e+01 
       7.014780047111e-01       3.501600871259e+01 
       7.048535079306e-01       3.462295260739e+01 
       7.082290112158e-01       3.423636414204e+01 
       7.116045145656e-01       3.385603715969e+01 
       7.149800179792e-01       3.348149714579e+01 
       7.183555214557e-01       3.311268322946e+01 
       7.217310249942e-01       3.274967382398e+01 
       7.251065285938e-01       3.239235565537e+01 
       7.284820322537e-01       3.204093695712e+01 
       7.318575359730e-01       3.169523337073e+01 
       7.352330397510e-01       3.135550421457e+01 
       7.386085435868e-01       3.102119039617e+01 
       7.419840474796e-01       3.069181593224e+01 
       7.453595514286e-01       3.036736916667e+01 
       7.487350554331e-01       3.004770567947e+01 
       7.521105594924e-01       2.973312231352e+01 
